Longitude,Latitude,Pixel,Scan
162.954284,21.3001682,1500,1700
162.933911,21.3009336,1600,1700
162.913537,21.3016966,1700,1700
162.893163,21.302457,1800,1700
162.872789,21.303215,1900,1700
162.852415,21.3039705,2000,1700
162.83204,21.3047236,2100,1700
162.811664,21.3054742,2200,1700
162.791288,21.3062224,2300,1700
162.770912,21.3069681,2400,1700
162.750534,21.3077113,2500,1700
162.730156,21.3084522,2600,1700
162.709776,21.3091905,2700,1700
162.689396,21.3099265,2800,1700
162.669014,21.31066,2900,1700
162.648631,21.311391,3000,1700
162.628246,21.3121197,3100,1700
162.60786,21.3128459,3200,1700
162.587472,21.3135697,3300,1700
162.567083,21.314291,3400,1700
162.546691,21.31501,3500,1700
162.526298,21.3157266,3600,1700
162.505902,21.3164407,3700,1700
162.485504,21.3171524,3800,1700
162.465105,21.3178617,3900,1700
162.444906,21.3185616,3999,1700
163.25915,21.2721685,0,1800
163.238766,21.2729714,100,1800
163.218384,21.2737717,200,1800
163.198003,21.2745695,300,1800
163.177623,21.2753648,400,1800
163.157245,21.2761575,500,1800
163.136868,21.2769477,600,1800
163.116492,21.2777354,700,1800
163.096117,21.2785206,800,1800
163.075743,21.2793033,900,1800
163.055369,21.2800835,1000,1800
163.034996,21.2808612,1100,1800
163.014624,21.2816364,1200,1800
162.994252,21.2824091,1300,1800
162.97388,21.2831793,1400,1800
162.953508,21.283947,1500,1800
162.933137,21.2847122,1600,1800
162.912765,21.285475,1700,1800
162.892394,21.2862353,1800,1800
162.872022,21.2869932,1900,1800
162.85165,21.2877485,2000,1800
162.831277,21.2885014,2100,1800
162.810904,21.2892519,2200,1800
162.790531,21.2899999,2300,1800
162.770156,21.2907455,2400,1800
162.749781,21.2914886,2500,1800
162.729405,21.2922292,2600,1800
162.709028,21.2929675,2700,1800
162.688649,21.2937033,2800,1800
162.66827,21.2944366,2900,1800
162.647889,21.2951676,3000,1800
162.627507,21.2958961,3100,1800
162.607123,21.2966221,3200,1800
162.586737,21.2973458,3300,1800
162.56635,21.2980671,3400,1800
162.545961,21.2987859,3500,1800
162.525569,21.2995023,3600,1800
162.505176,21.3002163,3700,1800
162.484781,21.3009279,3800,1800
162.464383,21.3016371,3900,1800
162.444187,21.3023369,3999,1800
163.258381,21.2560243,0,1900
163.238,21.2568273,100,1900
163.21762,21.2576277,200,1900
163.197241,21.2584257,300,1900
163.176864,21.2592211,400,1900
163.156488,21.260014,500,1900
163.136113,21.2608043,600,1900
163.11574,21.2615922,700,1900
163.095367,21.2623775,800,1900
163.074995,21.2631604,900,1900
163.054623,21.2639407,1000,1900
163.034253,21.2647186,1100,1900
163.013882,21.2654939,1200,1900
162.993513,21.2662668,1300,1900
162.973143,21.2670372,1400,1900
162.952774,21.2678051,1500,1900
162.932405,21.2685705,1600,1900
162.912036,21.2693334,1700,1900
162.891666,21.2700939,1800,1900
162.871297,21.2708519,1900,1900
162.850927,21.2716075,2000,1900
162.830557,21.2723606,2100,1900
162.810186,21.2731112,2200,1900
